source_iso2,target_iso2,weight,shared_elements
AE,OM,13,ccb2762a-e642-4183-8f49-58080ced3789;92470e3c-7900-4aec-b868-27a471318cca;629a762c-88d9-445a-a48e-1baf55e0ec26;b86cf78b-7808-4164-ac4f-d73669f277c9;819cb804-4227-4287-875d-358499c3ace0;5de032de-fad4-4b2c-9d76-9091cdc96e53;072a75fd-aaff-4c3e-854b-dceb6fe413c2;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7ab06f28-d392-4dfa-b0e9-c6df7030f431;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
AZ,TR,11,d9ea2e64-e78f-4760-bb88-5ee020420760;9d1ac534-0e1f-4a09-bf8c-cdd018ae1816;5abf947b-d9c5-4efc-8766-9898f4cb3a20;0a4b0d89-b2ff-4c63-877a-d0aa7099fc8c;1b8a28b7-ac46-4b2e-b6a6-fc01af14a679;dca385eb-fc21-410a-827b-e111344958ba;ae0c39e5-055f-43bd-b38a-fac631aad287;c9888034-f64d-4d58-833f-fa3ef386f485;fc3ddd73-2752-49b1-9d47-a927b441a0d6;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef
AE,SA,10,b86cf78b-7808-4164-ac4f-d73669f277c9;5de032de-fad4-4b2c-9d76-9091cdc96e53;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;072a75fd-aaff-4c3e-854b-dceb6fe413c2;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7ab06f28-d392-4dfa-b0e9-c6df7030f431;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
OM,SA,9,b86cf78b-7808-4164-ac4f-d73669f277c9;5de032de-fad4-4b2c-9d76-9091cdc96e53;072a75fd-aaff-4c3e-854b-dceb6fe413c2;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7ab06f28-d392-4dfa-b0e9-c6df7030f431;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
AE,JO,7,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;4b2ae2b6-6295-4765-95d5-6efd3459ef4d;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
AZ,IR,7,d9ea2e64-e78f-4760-bb88-5ee020420760;aaefb3ab-6bbf-4cc4-82e5-3e9a152a4f6c;5abf947b-d9c5-4efc-8766-9898f4cb3a20;dca385eb-fc21-410a-827b-e111344958ba;fc3ddd73-2752-49b1-9d47-a927b441a0d6;fcd7a93d-fb62-4ae8-a5d6-950a20e1bb97;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef
FR,IT,7,a483aedb-ae87-43d7-ad9f-23cb8087cb0b;458698c4-161b-4ec5-99b1-9b9d0cfb01f6;d136c853-3bdd-47c7-aee0-e6472519b861;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;0757c111-b673-492b-b13e-0ff879712f17;9fa600ce-5ecf-4b19-9464-00052ab2eecb;73f4141d-32ef-4dc3-9f98-0afd988a8b0d
KG,KZ,7,c1b54775-ffb8-4772-8ba2-96a9f08db5bf;d9ea2e64-e78f-4760-bb88-5ee020420760;e8682c48-d848-4e67-b135-4a1f6f255287;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;0a4b0d89-b2ff-4c63-877a-d0aa7099fc8c;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef;7f711805-1178-48fd-b3a1-b4b89a0cd37c
QA,SA,7,b86cf78b-7808-4164-ac4f-d73669f277c9;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;1bc21796-3307-4bcf-91c1-907620520017
AE,IQ,6,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914;4b2ae2b6-6295-4765-95d5-6efd3459ef4d;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
