inscription_year,type_acronym,element_count
2008,RL,90
2009,Art18,3
2009,RL,70
2009,USL,9
2010,RL,43
2010,USL,4
2011,Art18,5
2011,RL,18
2011,USL,8
2012,Art18,2
2012,RL,25
2012,USL,4
2013,Art18,1
2013,RL,25
2013,USL,4
2014,Art18,1
2014,RL,32
2014,USL,3
2015,RL,22
2015,USL,5
2016,Art18,5
2016,RL,30
2016,USL,4
2017,Art18,2
2017,RL,34
2017,USL,6
2018,Art18,1
2018,RL,30
2018,USL,7
2019,Art18,2
2019,RL,33
2019,USL,5
2020,Art18,3
2020,RL,26
2020,USL,3
2021,Art18,4
2021,RL,39
2021,USL,4
2022,Art18,4
2022,RL,38
2022,USL,5
2023,Art18,4
2023,RL,45
2023,USL,6
2024,Art18,3
2024,RL,61
2024,USL,2
2025,Art18,3
2025,RL,55
2025,USL,11
